"question","answer","domain"
"apiVersion for Deployment?","`apps/v1` (same for ReplicaSet, DaemonSet, StatefulSet).","API versions"
"apiVersion for Job and CronJob?","`batch/v1` (both).","API versions"
"apiVersion for NetworkPolicy?","`networking.k8s.io/v1`.","API versions"
"apiVersion for Ingress (and IngressClass)?","`networking.k8s.io/v1`.","API versions"
"apiVersion for Role, RoleBinding, ClusterRole, ClusterRoleBinding?","`rbac.authorization.k8s.io/v1`.","API versions"
"apiVersion for PriorityClass?","`scheduling.k8s.io/v1`.","API versions"
"apiVersion for StorageClass?","`storage.k8s.io/v1` (also CSIDriver, VolumeAttachment).","API versions"
"apiVersion for CertificateSigningRequest?","`certificates.k8s.io/v1`.","API versions"
"apiVersion for Gateway and HTTPRoute?","`gateway.networking.k8s.io/v1`.","API versions"
"apiVersion for HorizontalPodAutoscaler?","`autoscaling/v2`.","API versions"
"apiVersion for Pod, Service, ConfigMap, Secret, PV, PVC, Namespace, ServiceAccount, Node?","`v1` (the core group).","API versions"
"What is the name of the core apiGroup, and how do you write it in an RBAC rule?","the empty string; `apiGroups: [""""]`.","API versions"
"apiVersion for PodDisruptionBudget?","`policy/v1`.","API versions"
"apiVersion for a CustomResourceDefinition?","`apiextensions.k8s.io/v1`.","API versions"
"The four Role/Binding object combinations for granting access?","Role+RoleBinding (namespaced); ClusterRole+ClusterRoleBinding (cluster-wide); ClusterRole+RoleBinding (reuse a ClusterRole inside one namespace); ClusterRole+ClusterRoleBinding for cluster-scoped resources (nodes, PVs).","Cluster Architecture"
"The full set of RBAC verbs?","`get, list, watch, create, update, patch, delete, deletecollection` (plus `*`).","Cluster Architecture"
"Which RBAC object is namespaced vs cluster-scoped?","Role/RoleBinding are namespaced; ClusterRole/ClusterRoleBinding are cluster-scoped.","Cluster Architecture"
"Imperatively create a Role for read-only pod access?","`k create role dev --verb=get,list,watch --resource=pods`.","Cluster Architecture"
"Imperatively bind a Role to user `jane`?","`k create rolebinding dev-rb --role=dev --user=jane`.","Cluster Architecture"
"Bind the built-in `view` ClusterRole to a ServiceAccount in namespace `app`?","`k create rolebinding rb --clusterrole=view --serviceaccount=app:sa`.","Cluster Architecture"
"Verify effective permissions as another user?","`k auth can-i get pods --as=jane -n dev`.","Cluster Architecture"
"Check what a ServiceAccount can do?","`k auth can-i list pods --as=system:serviceaccount:app:sa`.","Cluster Architecture"
"signerName for a kubeadm client (user) cert?","`kubernetes.io/kube-apiserver-client`.","Cluster Architecture"
"usages for a client-auth CSR?","`[client auth]`.","Cluster Architecture"
"What goes in the CSR `.spec.request` field?","base64 of the PEM CSR: `cat my.csr | base64 -w0`.","Cluster Architecture"
"Approve a pending CSR?","`k certificate approve <name>` (`k get csr` to list, `deny` to reject).","Cluster Architecture"
"Tool + command to SAVE an etcd snapshot?","`etcdctl snapshot save snap.db`.","Cluster Architecture"
"In etcd 3.6, which tool does snapshot `status` and `restore`?","`etcdutl` (`etcdutl snapshot status`, `etcdutl snapshot restore`); those subcommands were removed from `etcdctl`.","Cluster Architecture"
"Mandatory cert flags for etcdctl against a kubeadm cluster?","`--cacert /etc/kubernetes/pki/etcd/ca.crt --cert /etc/kubernetes/pki/etcd/server.crt --key /etc/kubernetes/pki/etcd/server.key`.","Cluster Architecture"
"etcd endpoint on a single control-plane node?","`--endpoints https://127.0.0.1:2379`.","Cluster Architecture"
"Env var to force the v3 API for etcdctl?","`ETCDCTL_API=3`.","Cluster Architecture"
"Check a snapshot's integrity/status in 3.6?","`etcdutl snapshot status snap.db --write-out=table`.","Cluster Architecture"
"Upgrade order across the whole cluster?","control-plane nodes first, then workers; **one minor version at a time** (n → n+1, no skips).","Cluster Architecture"
"Per-node upgrade sequence?","upgrade the `kubeadm` package → `kubeadm upgrade apply` (first CP) or `kubeadm upgrade node` (others) → `drain` → upgrade `kubelet`+`kubectl` → `systemctl restart kubelet` → `uncordon`.","Cluster Architecture"
"Where do the Kubernetes package repos live now?","`pkgs.k8s.io`, with a **per-minor** URL you must bump for each upgrade (e.g. `.../core:/stable:/v1.36/deb/`).","Cluster Architecture"
"Preview what an upgrade will do?","`kubeadm upgrade plan`.","Cluster Architecture"
"Package hold dance around an upgrade (apt)?","`apt-mark unhold kubeadm` → install → `apt-mark hold kubeadm` (repeat for kubelet/kubectl).","Cluster Architecture"
"Why can't you jump two minor versions in one upgrade?","kubeadm only supports upgrading a single minor at a time.","Cluster Architecture"
"Static pod manifest directory?","`/etc/kubernetes/manifests`.","Cluster Architecture"
"How does the kubelet learn that directory?","`staticPodPath` in `/var/lib/kubelet/config.yaml`.","Cluster Architecture"
"Which control-plane components run as static pods under kubeadm?","kube-apiserver, kube-controller-manager, kube-scheduler, etcd.","Cluster Architecture"
"Restart a static pod?","edit (or move out/in) its manifest in `/etc/kubernetes/manifests`; the kubelet re-reads and recreates it.","Cluster Architecture"
"Admin kubeconfig on a control-plane node?","`/etc/kubernetes/admin.conf`.","Cluster Architecture"
"The kubelet's kubeconfig?","`/etc/kubernetes/kubelet.conf`.","Cluster Architecture"
"Controller-manager and scheduler kubeconfigs?","`/etc/kubernetes/controller-manager.conf`, `/etc/kubernetes/scheduler.conf`.","Cluster Architecture"
"Default user kubeconfig path (and overrides)?","`~/.kube/config`; override with `$KUBECONFIG` or `--kubeconfig`.","Cluster Architecture"
"The three node-level extension interfaces?","CNI (networking), CSI (storage), CRI (container runtime).","Cluster Architecture"
"Default containerd CRI socket?","`unix:///run/containerd/containerd.sock`.","Cluster Architecture"
"What object defines a brand-new resource kind?","a CustomResourceDefinition (CRD).","Cluster Architecture"
"Is Kustomize built into kubectl?","yes: `k apply -k <dir>`, render with `k kustomize <dir>`.","Cluster Architecture"
"Render a Helm chart without installing it?","`helm template <name> <chart>` (install with `helm install <name> <chart> -n <ns>`).","Cluster Architecture"
"PSA namespace label key that blocks non-compliant pods?","`pod-security.kubernetes.io/enforce`.","Cluster Architecture"
"The three PSA levels?","`privileged`, `baseline`, `restricted`.","Cluster Architecture"
"Label to enforce the baseline profile?","`pod-security.kubernetes.io/enforce=baseline` (swap `restricted` for the strict profile).","Cluster Architecture"
"The three PSA modes?","`enforce`, `audit`, `warn` (each optionally pinned with a `*-version` label).","Cluster Architecture"
"securityContext fields required to satisfy `restricted`?","`runAsNonRoot: true`, `allowPrivilegeEscalation: false`, drop **ALL** capabilities, `seccompProfile.type: RuntimeDefault`, no `privileged`:","Cluster Architecture"
"Fast doc path for a full CSR + approve example?","search ""certificate signing requests"".","Cluster Architecture"
"Fast doc path for etcd backup commands?","search ""backing up an etcd cluster"".","Cluster Architecture"
"Fast doc path for the kubeadm upgrade steps?","search ""upgrading kubeadm clusters"".","Cluster Architecture"
"The three QoS classes?","Guaranteed, Burstable, BestEffort.","Workloads & Scheduling"
"What makes a pod Guaranteed?","every container sets requests == limits for **both** CPU and memory.","Workloads & Scheduling"
"What makes a pod BestEffort?","no requests and no limits on any container.","Workloads & Scheduling"
"Node under memory pressure — eviction order?","BestEffort first, then Burstable (most over its requests), Guaranteed last.","Workloads & Scheduling"
"What does a resource *request* do?","drives scheduling; the pod only lands on a node with that much allocatable, and it's the guaranteed reservation.","Workloads & Scheduling"
"What does a resource *limit* do?","hard cap; CPU is throttled at the limit, memory over the limit is OOMKilled.","Workloads & Scheduling"
"Container exceeds its memory limit — result?","OOMKilled (exit **137**).","Workloads & Scheduling"
"Container exceeds its CPU limit — result?","throttled, never killed.","Workloads & Scheduling"
"Minimal `resources` block that yields Guaranteed QoS?","requests equal to limits, e.g.:","Workloads & Scheduling"
"The three probe types?","livenessProbe, readinessProbe, startupProbe.","Workloads & Scheduling"
"A failing readinessProbe does what?","pulls the pod out of Service endpoints; **no** restart.","Workloads & Scheduling"
"A failing livenessProbe does what?","kubelet restarts the container.","Workloads & Scheduling"
"Purpose of a startupProbe?","guards slow-starting containers; liveness/readiness are suppressed until it first succeeds.","Workloads & Scheduling"
"The probe timing fields?","`initialDelaySeconds`, `periodSeconds`, `timeoutSeconds`, `successThreshold`, `failureThreshold`.","Workloads & Scheduling"
"The probe handler types?","`httpGet`, `tcpSocket`, `exec` (also `grpc`).","Workloads & Scheduling"
"The three taint effects?","`NoSchedule`, `PreferNoSchedule`, `NoExecute`.","Workloads & Scheduling"
"What does `NoExecute` do that `NoSchedule` doesn't?","also evicts already-running pods that don't tolerate the taint.","Workloads & Scheduling"
"Add a taint imperatively?","`k taint nodes n1 key=val:NoSchedule`.","Workloads & Scheduling"
"Remove a taint?","same command with a trailing dash: `k taint nodes n1 key=val:NoSchedule-`.","Workloads & Scheduling"
"nodeSelector vs nodeAffinity?","nodeSelector is an exact label match; nodeAffinity adds operators and hard/soft rules.","Workloads & Scheduling"
"nodeAffinity operators?","`In, NotIn, Exists, DoesNotExist, Gt, Lt`.","Workloads & Scheduling"
"Hard vs soft nodeAffinity keys?","`requiredDuringSchedulingIgnoredDuringExecution` (hard), `preferredDuringSchedulingIgnoredDuringExecution` (soft).","Workloads & Scheduling"
"topologySpreadConstraints key fields?","`maxSkew`, `topologyKey`, `whenUnsatisfiable`, `labelSelector`.","Workloads & Scheduling"
"`whenUnsatisfiable` values?","`DoNotSchedule` (hard), `ScheduleAnyway` (soft).","Workloads & Scheduling"
"What does `maxSkew` bound?","the maximum allowed difference in matching-pod count between any two topology domains.","Workloads & Scheduling"
"Trigger and watch a rolling update?","`k set image deploy/web c=nginx:1.27 && k rollout status deploy/web`.","Workloads & Scheduling"
"Roll back a Deployment?","`k rollout undo deploy/web` (`--to-revision=N` for a specific one).","Workloads & Scheduling"
"See rollout history?","`k rollout history deploy/web`.","Workloads & Scheduling"
"The two rolling-update knobs?","`maxSurge` and `maxUnavailable` (under `strategy.rollingUpdate`).","Workloads & Scheduling"
"Load all keys of a ConfigMap as env vars?","`envFrom: [{configMapRef: {name: cm}}]`.","Workloads & Scheduling"
"Create a generic Secret from a literal?","`k create secret generic s --from-literal=pass=x` (type `Opaque`, values base64 in `.data`).","Workloads & Scheduling"
"Create an HPA imperatively?","`k autoscale deploy web --min=2 --max=10 --cpu-percent=80`.","Workloads & Scheduling"
"What must exist for an HPA to scale on CPU?","CPU **requests** set on the pods, and metrics-server running.","Workloads & Scheduling"
"What does a PriorityClass do, and how is it referenced?","sets scheduling priority (higher can preempt lower); referenced via `priorityClassName` on the pod.","Workloads & Scheduling"
"NodePort default port range?","30000–32767 (apiserver flag `--service-node-port-range`).","Services & Networking"
"Is a ClusterIP pingable?","No — it's a virtual IP realized by iptables/IPVS rules, not bound to any interface; ICMP fails but TCP/UDP to the service port works.","Services & Networking"
"kube-proxy modes?","`iptables` (default), `ipvs`, `nftables` (newer); the old `userspace` mode is gone.","Services & Networking"
"Default Service type?","ClusterIP.","Services & Networking"
"What does `k expose` create?","a Service whose selector matches the target's pod labels.","Services & Networking"
"What populates a Service's Endpoints / EndpointSlices?","pods that match the selector **and** are Ready.","Services & Networking"
"Service has zero endpoints — first two checks?","selector labels vs pod labels, and pod readiness.","Services & Networking"
"LoadBalancer Service in bare kind — external IP?","stays `<pending>` without a provider/MetalLB; the NodePort it allocates still works.","Services & Networking"
"DNS record shape for a Service?","`svc-name.namespace.svc.cluster.local`.","Services & Networking"
"DNS A record for a Pod by IP?","`pod-ip-dashed.namespace.pod.cluster.local` (e.g. `10-1-2-3.ns.pod.cluster.local`).","Services & Networking"
"Headless Service DNS behavior?","`clusterIP: None`; DNS returns each Ready pod's own A record (per-pod), no single VIP.","Services & Networking"
"Which image gives reliable `nslookup` in drills, and why?","`busybox:1.28`; newer busybox has a broken `nslookup` for cluster DNS.","Services & Networking"
"One-liner to test DNS from a throwaway pod?","`k run t --image=busybox:1.28 --restart=Never -it --rm -- nslookup <svc>`.","Services & Networking"
"Which pods provide cluster DNS, and what fronts them?","CoreDNS pods in `kube-system`, fronted by the `kube-dns` Service.","Services & Networking"
"Typical cluster DNS service IP?","the `.10` of the service CIDR (e.g. `10.96.0.10`).","Services & Networking"
"Ingress apiVersion + kind?","`networking.k8s.io/v1`, kind `Ingress`.","Services & Networking"
"What ties an Ingress to a specific controller?","`ingressClassName` (an IngressClass object).","Services & Networking"
"What must be running for an Ingress to route at all?","an Ingress controller (nginx, etc.).","Services & Networking"
"Gateway API core apiVersion?","`gateway.networking.k8s.io/v1`.","Services & Networking"
"The three main Gateway API kinds?","GatewayClass, Gateway, HTTPRoute.","Services & Networking"
"How does an HTTPRoute attach to a Gateway?","via `parentRefs`.","Services & Networking"
"NetworkPolicy apiVersion?","`networking.k8s.io/v1`.","Services & Networking"
"Pod networking with no policy selecting it?","all ingress and egress allowed (fully open).","Services & Networking"
"What happens the moment a policy selects a pod for a direction?","that direction becomes default-deny; only the listed rules are permitted.","Services & Networking"
"Shape of a default-deny-all-ingress policy?","`podSelector: {}` + `policyTypes: [Ingress]` with no ingress rules:","Services & Networking"
"The egress rule you must never forget when writing default-deny egress?","allow DNS to kube-dns on **both** UDP 53 and TCP 53:","Services & Networking"
"Two separate list items under `from:` — AND or OR?","OR (union of sources).","Services & Networking"
"One `from:` item with both podSelector and namespaceSelector — AND or OR?","AND (both must match).","Services & Networking"
"What does `policyTypes` control?","whether Ingress, Egress, or both are enforced for the selected pods.","Services & Networking"
"To match a namespace by name in namespaceSelector, what must the namespace carry?","a label, e.g. the automatic `kubernetes.io/metadata.name=<ns>`.","Services & Networking"
"Fast doc path for a copy-paste NetworkPolicy?","search ""network policies""; the concept page has default-deny and allow examples.","Services & Networking"
"The four PV access modes?","RWO (ReadWriteOnce), ROX (ReadOnlyMany), RWX (ReadWriteMany), RWOP (ReadWriteOncePod).","Storage"
"RWO scope — node or pod?","node-level: one **node** mounts read-write (multiple pods on that node can share it).","Storage"
"RWOP scope?","exactly **one pod** cluster-wide.","Storage"
"The two reclaim policies you actually use?","`Retain` (keep data, clean up manually) and `Delete` (delete the backing volume); `Recycle` is deprecated.","Storage"
"Default reclaim policy for a dynamically provisioned PV?","`Delete` (inherited from the StorageClass).","Storage"
"What does `volumeBindingMode: WaitForFirstConsumer` do?","delays binding/provisioning until a pod using the PVC is scheduled (topology-aware).","Storage"
"The other volumeBindingMode value?","`Immediate` (bind/provision as soon as the PVC is created).","Storage"
"What must match for a PVC to bind a PV?","accessModes, capacity (PV ≥ PVC request), and storageClassName (plus a selector if set).","Storage"
"PVC stuck Pending with no dynamic provisioner — cause?","no matching PV exists and no StorageClass is available to provision one.","Storage"
"Force a PVC to bind only pre-created PVs (no class)?","set `storageClassName: """"`.","Storage"
"Annotation that marks a StorageClass as default?","`storageclass.kubernetes.io/is-default-class: ""true""`.","Storage"
"During binding, PV capacity vs PVC request?","PV capacity must be **≥** the PVC's requested size.","Storage"
"Exit code 0?","success / clean exit.","Troubleshooting"
"Exit code 1?","general application error.","Troubleshooting"
"Exit code 137?","128+9, SIGKILL — usually OOMKilled or a forced kill.","Troubleshooting"
"Exit code 143?","128+15, SIGTERM — the graceful-termination signal.","Troubleshooting"
"General formula for signal exit codes?","128 + signal number.","Troubleshooting"
"What does CrashLoopBackOff mean?","the container keeps exiting and the kubelet is backing off restarts (delay grows up to 5 min).","Troubleshooting"
"Standard pod-debug sequence?","`k describe pod` (Events) → `k logs` (+`--previous`) → `k get events` → node/kubelet.","Troubleshooting"
"Read logs from a crashed *previous* container?","`k logs <pod> -c <c> --previous`.","Troubleshooting"
"Pod stuck Pending — where's the reason?","`k describe pod` Events (scheduler: insufficient cpu/mem, taints, unbound PVC).","Troubleshooting"
"ImagePullBackOff — what to check?","image name/tag, registry auth (`imagePullSecrets`), and node network to the registry.","Troubleshooting"
"Node NotReady — first thing to check?","the kubelet on that node (`systemctl status kubelet`, `journalctl -u kubelet`).","Troubleshooting"
"Follow kubelet logs?","`journalctl -u kubelet -f`.","Troubleshooting"
"kubelet config file path?","`/var/lib/kubelet/config.yaml`.","Troubleshooting"
"Restart the kubelet?","`systemctl restart kubelet`.","Troubleshooting"
"Node pressure conditions to look for?","MemoryPressure, DiskPressure, PIDPressure (alongside Ready).","Troubleshooting"
"Top pods by resource usage?","`k top pods` (needs metrics-server).","Troubleshooting"
"Top nodes by resource usage?","`k top nodes`.","Troubleshooting"
"Tail logs across all pods of a label?","`k logs -l app=web -f --prefix`.","Troubleshooting"
"Mark a node unschedulable without evicting?","`k cordon <node>`.","Troubleshooting"
"Drain flags you almost always need?","`--ignore-daemonsets --delete-emptydir-data`.","Troubleshooting"
"What does `k drain` actually do?","cordons the node and evicts pods respecting PodDisruptionBudgets; DaemonSet pods require `--ignore-daemonsets`.","Troubleshooting"
"Undo a cordon/drain?","`k uncordon <node>`.","Troubleshooting"
"apiserver won't come up after you edited its static-pod manifest — where to look?","kubelet logs (`journalctl -u kubelet`) and the manifest at `/etc/kubernetes/manifests/kube-apiserver.yaml`.","Troubleshooting"
"Inspect containers when `kubectl` itself is down?","`crictl` (`crictl ps`, `crictl logs`) against the CRI socket.","Troubleshooting"
